TAC   LAC,TAC,LAC
5083  7D79,20611,32121
4E2B  7D01,20011,32001
4E2C  7D01,20012,32001
4E37  7D02,20023,32002
4E35  7D02,20021,32002
4E36  7D02,20022,32002
4E3F  7D03,20031,32003
515F  7D53,20831,32083
5160  7D53,20832,32083
5173  7D55,20851,32085
5174  7D55,20852,32085
517D  7D56,20861,32086
517E  7D56,20862,32086
517F  7D56,20863,32086
4E8F  7D00,20111,32000
4E90  7D00,20112,32000
4E49  7D04,20041,32004
4E4A  7D04,20042,32004
4E4B  7D04,20043,32004
5169  7D54,20841,32084
516A  7D54,20842,32084
2743  791D,10051,31005
2744  791D,10052,31005
2745  791D,10053,31005
2746  791D,10054,31005
2775  7918,10101,31000
2776  7918,10102,31000
2793  7919,10131,31001
279D  791A,10141,31002
27A7  791B,10151,31003
27A8  791B,10152,31003
27B1  791C,10161,31004
283D  7936,10301,31030
283E  7936,10302,31030
2969  7954,10601,31060
2973  7955,10611,31061
2974  7955,10612,31061
2975  7955,10613,31061
2976  7955,10614,31061
7531  80E8,30001,33000
76E9  8114,30441,33044
7546  80EA,30022,33002
753B  80E9,30011,33001
76E0  8113,30432,33043
76DF  8113,30431,33043
754F  80EB,30031,33003
7545  80EA,30021,33002
2711  7918,10001,31000
2712  7918,10002,31000
271B  7919,10011,31001
2725  791A,10021,31002
272F  791B,10031,31003
2730  791B,10032,31003
2739  791C,10041,31004
29C3  795D,10691,31069
29C4  795D,10692,31069
7532  80E8,30002,33000
7533  80E8,30003,33000
753C  80E9,30012,33001
7547  80EA,30023,33002
7563  80ED,30051,33005
7564  80ED,30052,33005
7565  80ED,30053,33005
7566  80ED,30054,33005
7595  80F2,30101,33010
9C41  84D0,40001,34000
9C42  84D0,40002,34000
2713  7918,10003,31000
2726  791A,10022,31002
2731  791B,10033,31003
273A  791C,10042,31004
273B  791C,10043,31004
2761  7920,10081,31008
2762  7920,10082,31008
2763  7920,10083,31008
2764  7920,10084,31008
296A  7954,10602,31060
4E4C  7D04,20044,32004
4E71  7D08,20081,32008
4ECB  7D11,20171,32017
4EDF  7D13,20191,32019
4EF3  7D15,20211,32021
7581  80F0,30081,33008
75B3  80F5,30131,33013
4E21  7D00,20001,32000
4E22  7D00,20002,32000
4E38  7D02,20024,32002
4E39  7D02,20025,32002
4E40  7D03,20032,32003
4E67  7D07,20071,32007
4E68  7D07,20072,32007
4E72  7D08,20082,32008
4E7B  7D09,20091,32009
4E7C  7D09,20092,32009
4E99  7D0C,20121,32012
4EAD  7D0E,20141,32014
4EAE  7D0E,20142,32014
4ECC  7D11,20172,32017
4ED5  7D12,20181,32018
4FE3  7D2D,20451,32045
5084  7D3D,20612,32061
5161  7D53,20833,32083
5175  7D55,20853,32085
52DB  7D79,21211,32121
756D  80EE,30061,33006
75D1  80F8,30161,33016
75D2  80F8,30162,33016
7603  80FD,30211,33021
76E1  8113,30433,33043
76E2  8113,30434,33043
9CD7  84DF,40151,34015
28E7  7947,10471,31047
9C55  84D2,40021,34002
9C73  84D5,40051,34005
2727  791A,10023,31002
2732  791B,10034,31003
2757  791F,10071,31007
