No of Trunks (N),with 2% Blocking
1,0.02
2,0.223
3,0.602
4,1.09
5,1.66
6,2.28
7,2.94
8,3.63
9,4.34
10,5.08
11,5.84
12,6.61
13,7.4
14,8.2
15,9.01
16,9.83
17,10.7
18,11.5
19,12.3
20,13.2
21,14
22,14.9
23,15.8
24,16.6
25,17.5
26,18.4
27,19.3
28,20.2
29,21
30,21.9
31,22.8
32,23.7
33,24.6
34,25.5
35,26.4
36,27.3
37,28.3
38,29.2
39,30.1
40,31
41,31.9
42,32.8
43,33.8
44,34.7
45,35.6
46,36.5
47,37.5
48,38.4
49,39.3
50,40.3
51,41.2
52,42.1
53,43.1
54,44
55,44.9
56,45.9
57,46.8
58,47.8
59,48.7
60,49.6
61,50.6
62,51.5
63,52.5
64,53.4
65,54.4
66,55.3
67,56.3
68,57.2
69,58.2
70,59.1
71,60.1
72,61
73,62
74,62.9
75,63.9
76,64.9
77,65.8
78,66.8
79,67.7
80,68.7
81,69.6
82,70.6
83,71.6
84,72.5
85,73.5
86,74.5
87,75.4
88,76.4
89,77.3
90,78.3
91,79.3
92,80.2
93,81.2
94,82.2
95,83.1
96,84.1
97,85.1
98,86
99,87
100,88
101,88.9
102,89.9
103,90.9
104,91.9
105,92.8
106,93.8
107,94.8
108,95.7
109,96.7
110,97.7
111,98.7
112,99.6
113,100.6
114,101.6
115,102.5
116,103.5
117,104.5
118,105.5
119,106.4
120,107.4
121,108.4
122,109.4
123,110.3
124,111.3
125,112.3
126,113.3
127,114.3
128,115.2
129,116.2
130,117.2
131,118.2
132,119.1
133,120.1
134,121.1
135,122.1
136,123.1
137,124
138,125
139,126
140,127
141,128
142,129
143,129.9
144,130.9
145,132
